Sr. No.,Name,District,Address of Hospital,Clusters in HMIS application
398,"U-PHC Urban Health Center, Lalbajar",BHARUCH,"Uphc Lalbazar Dr.Den Prasuti Gruh ,Opp. Main Post Office ,Lalbazar, Bharuch"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
399,"U-PHC Urban Health Center, Vejalpur",BHARUCH,"Uphc Vejalpur Near Limdichok Masjid,Bambakhana Vejalpur"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
400,BMCU-PHC Akhlol Jakatnaka,BHAVNAGAR,"Akhlol Jakatnaka, Opp Amar Auto, Chitra"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
401,BMCU-PHC Bharatnagar,BHAVNAGAR,"Maruti Arogydham Near Raksheshvar Mahadev Tempal, B/H, 12 No. Bus Stop,Bharatnagar ,Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
402,BMCU-PHC Bhilwada,BHAVNAGAR,"Soni Gyatiwadi Valo Khacho,Mahadev Temple,Near Haluriya Chowk,Bhilwada,Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
403,BMCU-PHC Bordigate,BHAVNAGAR,"Plot No:342-43-D1.Javahar Colony,Dr.Jogadiya Valo Khancho,Bordigate"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
404,BMCU-PHC Bortalav,BHAVNAGAR,"Plot No:177/B, Street No-11,Sarita Society,Bortalav"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
405,BMCU-PHC Kaliyabid,BHAVNAGAR,"Cm - 759 Styanarayan Socaity, Old Kpes Shcool Near,Kaliyabid,Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
406,BMCU-PHC Kanbiwad,BHAVNAGAR,"Bambakhana Street, Nr. Thakar Dwara Mandir, Mama Kotha Road, Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
407,BMCU-PHC Karchaliyapara,BHAVNAGAR,"Karachaliyapara, Nr,.Valket Gate, Vithhaleshwar Road., Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
408,BMCU-PHC Kumbharwada,BHAVNAGAR,"Kumbharwada Circle Opp, Police Choki , Old Silicate Factory, Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
409,BMCU-PHC New Kumbharwada,BHAVNAGAR,"Uphc New Kumbharwada,Nr,Shitalamataji Deri, Khodal  Chowk,Chamunda Nivas,Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
410,BMCU-PHC Prabhudastalav,BHAVNAGAR,"Uphc Prabhudas Talav, Near Mahakali Temple,Tekarichowk,Prabhudas Talav, Bhavnagar-364001"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
411,BMCU-PHC Subhashnagar,BHAVNAGAR,"1St Floor, Community Hall, Municipal Shopping Centre,Airport Road,Subhashnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
412,BMCU-PHC Vadva Washingghat,BHAVNAGAR,"Urban Primary Health Center,Vadva Washingghat Below Vikas Vartul Trust"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
413,CHC Datha,BHAVNAGAR,"CHC Datha, At-Datha, Nr. Madrasha Masjid, Ta-Talaja, Dist.-Bhavnagar"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
414,COMMUNITH HEALTH CENTRE Gariyadhar,BHAVNAGAR,Nr. Bus Stand Chc Gariyadhar," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
415,COMMUNITH HEALTH CENTREGhogha,BHAVNAGAR,"CHC GHOGAHA, Nagarwada, Near SBI Bank Ghogha 364110"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
416,COMMUNITH HEALTH CENTREJesar,BHAVNAGAR,"AT post chc jesar ,mahuvaroad Ta.jesar Dis, bhavnagar 364510"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
417,COMMUNITH HEALTH CENTREKoliyak,BHAVNAGAR,Koliyak," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
418,COMMUNITH HEALTH CENTREMotakhumarvada,BHAVNAGAR,"Chc-Mota Khutavada, Opp.Bus Stand, Near Sbi Bank"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
419,COMMUNITH HEALTH CENTREShihor,BHAVNAGAR,Main Road Sihor," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
420,COMMUNITH HEALTH CENTRETalaja,BHAVNAGAR,"Station Road, Chc Talaja"," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
421,COMMUNITH HEALTH CENTREUmrala,BHAVNAGAR,Chc Umrala Near Police Station," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
422,COMMUNITH HEALTH CENTREVallabhipur,BHAVNAGAR,Chc VALLBHIPUR. At VALLBHIPUR Bhavnagar," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
423,COMMUNITH HEALTH CENTREVartej,BHAVNAGAR,"Community Health Center, Near Sbi Bank, Vartej"," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
424,COMMUNITY HEALTH CENTRE Datha,BHAVNAGAR,At Post Bagdana CHC BAGDANA Ta Mahuva Dist Bhavnagar 364145,"CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACKA
"
425,COMMUNITY HEALTH CENTRE Thaliya,BHAVNAGAR,"CHC THALIYA AT:THALIYA,DIST.: BHAVNAGAR","CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACKA
"
426,GENERAL HOSPITAL Mahuva,BHAVNAGAR,"General Hospital mahuva garden road,mahuva"," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC SURGERY, CLUSTER-8 POLY-TRAUMA, Cluster - 14 JOINT REPLACEMENT, CLUSTER-16 ENT, CLUSTER-17
"
427,Mansihji hospitalPALITANA,BHAVNAGAR,"Taleti Road, Palitana"," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC SURGERY, CLUSTER-8 POLY-TRAUMA, Cluster - 14 JOINT REPLACEMENT, CLUSTER-16 ENT, CLUSTER-17
"
428,PHC TATAM,BHAVNAGAR,0," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
429,Primary Health Centre Adhelai,BHAVNAGAR,"Main road,Adhelai 364313"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
430,Primary Health Centre Ayavej,BHAVNAGAR,"PHC AYAVEJ, TA JESAR, DIST BHAVNGAR"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
431,Primary Health Centre Belamper,BHAVNAGAR,"PHC Belampar At Belampar Ta. Mahuva, Dist Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
432,Primary Health Centre Bhadraval,BHAVNAGAR,Primary health centre Bhadraval At. Bhadraval Tal.Talaja.Dist.Bhavnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
433,Primary Health Centre Bhadrod,BHAVNAGAR,"PHC Bhadrod,Ta.Mahuva, Dist Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
434,Primary Health Centre Bhandariya,BHAVNAGAR,At Bhandariya Taluko Ghogha District Bhavnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
435,Primary Health Centre Bhumbhali,BHAVNAGAR,At.Bhumbhali Ta.Dist.Bhavnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
436,Primary Health Centre Bila,BHAVNAGAR,"PHC BILA , TA JESAR , DIST-BHAVNAGAR"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
437,Primary Health Centre Boda,BHAVNAGAR,"PHC Boda At Boda, Ta.Mahuva, Dist Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
438,Primary Health Centre Borda,BHAVNAGAR,Phc Borda At-Borda Ta-Talaja Dist-Bhavnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
439,Primary Health Centre Dadva,BHAVNAGAR,"At-Dadva(Randalana),Ta-Umrala,Di-Bhavanagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
440,Primary Health Centre GHETI,BHAVNAGAR,PHC GHETI TA.PALITANA DIST.BHAVNAGAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
441,Primary Health Centre Gundarna,BHAVNAGAR,PHC Gundarna At Gundarna Ta Mahuva Dist Bhavnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
442,Primary Health Centre Hathab,BHAVNAGAR,At Panchavati Gardan Hathab 364070," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
443,Primary Health Centre kalatalav,BHAVNAGAR,phc Kalatalav at vallabhipur dist bhavnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
444,Primary Health Centre Kalsar,BHAVNAGAR,PHC KALSAR AT-KALSAR TA-MAHUVA DIST-BHAVNAGAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
445,Primary Health Centre Kumbhan,BHAVNAGAR,PHC KUMBHAN AT KUMBHAN TA MAHUVA DIST BHAVNAGAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
446,Primary Health Centre Kundheli,BHAVNAGAR,"PHC - Kundheli At Kundheli, Tal-talaja,Dist-Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
447,Primary Health Centre Madhada,BHAVNAGAR,"RAILWAY STATION ROAD , MADHADA"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
448,Primary Health Centre Madhiya,BHAVNAGAR,PHC MADHIYA AT & POST VILLAGE MADHIYA TA MAHUVA DIST BHAVNAGAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
449,Primary Health Centre Manar,BHAVNAGAR,"PHC MANAR, At Manar, Tal-talaja,Dist-Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
450,Primary Health Centre Mangadh,BHAVNAGAR,"PHC MANGADH, TA:GARIYADHAR DIST:BHAVNAGAR"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
451,Primary Health Centre Mathavda,BHAVNAGAR,"PHC Mathavada, AT Mathavada ,Ta:Talaja , Dist:Bhavnagar-364150"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
452,Primary Health Centre Mo.Asarana,BHAVNAGAR,phc mota asarana ta mahuva Dist-bhavnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
453,Primary Health Centre Morchand,BHAVNAGAR,"at:-morchand, tal:-ghogha,dist:-bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
454,Primary Health Centre Motivavdi,BHAVNAGAR,"PHC MOTIVAVDI,TA:GARIYADHAR,DIST:BHAVNAGAR"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
455,Primary Health Centre Nanirajsthali,BHAVNAGAR,PHC NANIRAJSTHALI TA. PALITANA DIST.BHAVNAGAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
456,Primary Health Centre Nari,BHAVNAGAR,," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
457,Primary Health Centre Nonghnvadar,BHAVNAGAR,PHC NONGHANVADAR TA.PALITANA DIST.BHAVNAGAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
458,Primary Health Centre patna,BHAVNAGAR,phc patna ta vallabhipur dist bhavnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
459,Primary Health Centre Pithalpur,BHAVNAGAR,"PHC pithalpur, At pithalpur, Tal-talaja,Dist-Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
460,Primary Health Centre Ranghola,BHAVNAGAR,Bhavnagar Rajkot Highway At Ranghola," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
461,Primary Health Centre Ratanpur ga,BHAVNAGAR,phc ratanpar ga ta vallabhipur sidt bhavnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
462,Primary Health Centre Sanosara,BHAVNAGAR,"At-Sanosara , Bhavnagar- Rajkot Highway , Ta-Sihor, Dist-bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
463,Primary Health Centre Sartanpar,BHAVNAGAR,"PHC Sartanpar, AT Sartanpar Port, Ta : Talaja, Dist : Bhavnagar-364140"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
464,Primary Health Centre Sedarda,BHAVNAGAR,Phc Sendarda Ta-mahuva Dist. Bhavnagar 364290," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
